1;47.54;Arbat;2024-11-26 20:11:23
2;41.29;Basmanny;2024-11-27 23:11:49
3;48.73;Tagansky;2024-11-11 02:11:32
4;26.89;Arbat;2024-11-11 10:11:45
5;47.18;Yakimanka;2024-12-08 13:12:08
6;8.19;Krasnoselsky;2024-11-10 17:11:52
7;14.76;Zamoskvorechye;2024-12-29 15:12:47
8;5.68;Arbat;2024-11-10 11:11:30
9;13.94;Basmanny;2024-12-21 17:12:36
10;25.48;Khamovniki;2024-11-18 16:11:25
11;36.31;Presnensky;2024-11-16 21:11:20
12;41.57;Basmanny;2024-12-25 21:12:04
13;30.92;Meschansky;2024-10-30 22:10:00
14;12.52;Basmanny;2024-11-02 22:11:13
15;27.91;Meschansky;2024-11-17 18:11:29
16;31.14;Tverskoy;2024-12-17 20:12:02
17;44.78;Zamoskvorechye;2024-12-11 17:12:27
18;31.46;Presnensky;2024-12-13 06:12:24
19;12.64;Khamovniki;2024-12-26 04:12:10
20;1.42;Arbat;2024-11-07 05:11:52
21;40.17;Khamovniki;2024-12-29 02:12:22
22;43.55;Yakimanka;2024-10-28 13:10:03
23;31.33;Yakimanka;2024-11-17 13:11:10
24;21.53;Krasnoselsky;2024-12-26 01:12:11
25;28.43;Arbat;2024-12-12 21:12:56
26;19.45;Khamovniki;2024-12-22 21:12:43
27;19.58;Presnensky;2024-11-28 01:11:26
28;31.48;Presnensky;2024-12-16 22:12:20
29;31.5;Yakimanka;2024-12-17 21:12:07
30;41.53;Presnensky;2024-11-29 18:11:19
31;23.45;Krasnoselsky;2024-12-30 05:12:33
32;23.03;Zamoskvorechye;2024-12-09 18:12:33
33;47.31;Zamoskvorechye;2024-11-18 03:11:51
34;44.23;Yakimanka;2024-12-02 07:12:41
35;7.77;Basmanny;2024-11-12 04:11:14
36;6.31;Presnensky;2024-11-01 14:11:49
37;46.56;Arbat;2024-11-16 18:11:29
38;47.73;Basmanny;2024-11-16 05:11:09
39;49.13;Tverskoy;2024-11-23 17:11:00
40;15.81;Tverskoy;2024-12-27 20:12:33
41;10.78;Tagansky;2024-12-06 15:12:24
42;38.29;Khamovniki;2024-12-30 02:12:59
43;23.34;Basmanny;2024-11-06 11:11:50
44;18.94;Tagansky;2024-12-27 17:12:15
45;1.19;Khamovniki;2024-12-24 21:12:18
46;20.08;Meschansky;2024-11-30 10:11:49
47;29.38;Zamoskvorechye;2024-12-27 04:12:39
48;22.58;Krasnoselsky;2024-12-26 02:12:22
49;37.4;Meschansky;2024-12-07 23:12:51
50;12.02;Zamoskvorechye;2024-12-27 00:12:54
51;7.78;Tverskoy;2024-12-14 03:12:59
52;11.33;Presnensky;2024-12-19 23:12:12
53;16.76;Yakimanka;2024-12-28 13:12:46
54;39.8;Meschansky;2024-11-03 13:11:29
55;44.04;Basmanny;2024-10-29 03:10:15
